NAME,B08303_001E,B08303_013E,state,county
"Clearwater County, Minnesota",3486,149,27,029
"Cook County, Minnesota",2419,35,27,031
"Cottonwood County, Minnesota",4856,101,27,033
"Crow Wing County, Minnesota",28164,897,27,035
"Dakota County, Minnesota",210717,2889,27,037
"Dodge County, Minnesota",10284,223,27,039
"Douglas County, Minnesota",17651,498,27,041
"Faribault County, Minnesota",6255,128,27,043
"Fillmore County, Minnesota",9576,244,27,045
"Goodhue County, Minnesota",22240,359,27,049
"Grant County, Minnesota",2485,87,27,051
"Houston County, Minnesota",9267,229,27,055
"Hubbard County, Minnesota",8541,371,27,057
"Itasca County, Minnesota",18142,682,27,061
"Kanabec County, Minnesota",7111,454,27,065
"Kandiyohi County, Minnesota",20451,369,27,067
"Koochiching County, Minnesota",5228,120,27,071
"Lac qui Parle County, Minnesota",2884,57,27,073
"Lake of the Woods County, Minnesota",1785,11,27,077
"Le Sueur County, Minnesota",14098,309,27,079
"Lyon County, Minnesota",12005,239,27,083
"McLeod County, Minnesota",17834,431,27,085
"Marshall County, Minnesota",4059,72,27,089
"Martin County, Minnesota",8837,140,27,091
"Mille Lacs County, Minnesota",11366,560,27,095
"Morrison County, Minnesota",15190,663,27,097
"Murray County, Minnesota",3733,102,27,101
"Nicollet County, Minnesota",16467,356,27,103
"Norman County, Minnesota",2835,58,27,107
"Olmsted County, Minnesota",76512,1304,27,109
"Pennington County, Minnesota",7045,87,27,113
"Pine County, Minnesota",11690,837,27,115
"Polk County, Minnesota",14101,253,27,119
"Pope County, Minnesota",5299,167,27,121
"Red Lake County, Minnesota",1819,51,27,125
"Redwood County, Minnesota",6566,118,27,127
"Rice County, Minnesota",27106,477,27,131
"Rock County, Minnesota",4448,38,27,133
"St. Louis County, Minnesota",91062,1518,27,137
"Scott County, Minnesota",73270,688,27,139
"Sibley County, Minnesota",7205,153,27,143
"Stearns County, Minnesota",78418,1795,27,145
"Stevens County, Minnesota",4859,45,27,149
"Swift County, Minnesota",4233,125,27,151
"Traverse County, Minnesota",1430,56,27,155
"Wabasha County, Minnesota",10294,240,27,157
"Waseca County, Minnesota",8911,157,27,161
"Washington County, Minnesota",121489,1275,27,163
"Wilkin County, Minnesota",2899,25,27,167
"Winona County, Minnesota",26006,240,27,169
"Wright County, Minnesota",67368,1477,27,171
"Yellow Medicine County, Minnesota",4412,59,27,173
"Adair County, Missouri",10125,160,29,001
"Andrew County, Missouri",8064,219,29,003
"Atchison County, Missouri",2359,38,29,005
"Audrain County, Missouri",10328,359,29,007
"Barry County, Missouri",13843,233,29,009
"Barton County, Missouri",4492,89,29,011
"Alleghany County, Virginia",5772,158,51,005
"Amelia County, Virginia",5868,173,51,007
"Appomattox County, Virginia",6756,66,51,011
"Arlington County, Virginia",129657,1310,51,013
"Bath County, Virginia",1839,87,51,017
"Bedford County, Virginia",34179,523,51,019
"Botetourt County, Virginia",14809,367,51,023
"Brunswick County, Virginia",6025,374,51,025
"Buckingham County, Virginia",6149,483,51,029
"Campbell County, Virginia",24814,472,51,031
"Carroll County, Virginia",11871,248,51,035
"Charles City County, Virginia",3107,68,51,036
"Charlotte County, Virginia",4300,147,51,037
"Clarke County, Virginia",6542,427,51,043
"Craig County, Virginia",2196,1,51,045
"Cumberland County, Virginia",4697,468,51,049
"Dickenson County, Virginia",4376,114,51,051
"Essex County, Virginia",4435,243,51,057
"Fairfax County, Virginia",541069,14907,51,059
"Floyd County, Virginia",6729,167,51,063
"Fluvanna County, Virginia",11626,407,51,065
"Frederick County, Virginia",40103,3216,51,069
"Giles County, Virginia",7253,238,51,071
"Goochland County, Virginia",9629,256,51,075
"Grayson County, Virginia",6003,116,51,077
"Greensville County, Virginia",3518,47,51,081
"Halifax County, Virginia",12849,380,51,083
"Henrico County, Virginia",153966,3473,51,087
"Henry County, Virginia",18555,338,51,089
"Isle of Wight County, Virginia",16631,289,51,093
"James City County, Virginia",31248,711,51,095
"King and Queen County, Virginia",3270,71,51,097
"King George County, Virginia",12553,1413,51,099
"King William County, Virginia",8086,290,51,101
"Lancaster County, Virginia",3536,299,51,103
"Lee County, Virginia",6854,438,51,105
"Loudoun County, Virginia",188151,9582,51,107
"Louisa County, Virginia",15720,720,51,109
"Lunenburg County, Virginia",4373,165,51,111
"Madison County, Virginia",5671,215,51,113
"Mathews County, Virginia",3300,203,51,115
"Mecklenburg County, Virginia",11828,476,51,117
"Middlesex County, Virginia",4126,55,51,119
"Montgomery County, Virginia",42074,265,51,121
"Nelson County, Virginia",5851,49,51,125
"New Kent County, Virginia",9903,256,51,127
"Northampton County, Virginia",4148,55,51,131
"Northumberland County, Virginia",3985,276,51,133
"Nottoway County, Virginia",5300,323,51,135
"Orange County, Virginia",15721,1449,51,137
"Page County, Virginia",10345,783,51,139
"Patrick County, Virginia",7163,357,51,141
"Powhatan County, Virginia",12105,235,51,145
"Prince Edward County, Virginia",7875,179,51,147
"Prince George County, Virginia",15946,245,51,149
"Pulaski County, Virginia",14571,450,51,155
"Rappahannock County, Virginia",3209,419,51,157
"Roanoke County, Virginia",41212,793,51,161
"Hitchcock County, Nebraska",1131,37,31,087
"Howard County, Nebraska",3145,111,31,093
"Kearney County, Nebraska",3146,50,31,099
"Kimball County, Nebraska",1647,31,31,105
"Lincoln County, Nebraska",16619,145,31,111
"McPherson County, Nebraska",181,0,31,117
"Morrill County, Nebraska",1837,51,31,123
"Nemaha County, Nebraska",3059,94,31,127
"Valley County, Nebraska",1969,70,31,175
"Wayne County, Nebraska",4442,100,31,179
"York County, Nebraska",6198,74,31,185
"Douglas County, Nevada",19114,575,32,005
"Eureka County, Nevada",733,20,32,011
"Lincoln County, Nevada",1553,122,32,017
"Nye County, Nevada",14214,722,32,023
"Washoe County, Nevada",216676,3350,32,031
"Belknap County, New Hampshire",29056,863,33,001
"Coos County, New Hampshire",13055,364,33,007
"Merrimack County, New Hampshire",71882,2323,33,013
"Sullivan County, New Hampshire",19258,345,33,019
"Ascension Parish, Louisiana",56234,1859,22,005
"Beauregard Parish, Louisiana",14332,360,22,011
"Caddo Parish, Louisiana",96994,1701,22,017
"Cameron Parish, Louisiana",2955,135,22,023
"Concordia Parish, Louisiana",5926,410,22,029
"East Carroll Parish, Louisiana",1070,0,22,035
"Franklin Parish, Louisiana",6596,265,22,041
"Iberville Parish, Louisiana",12060,228,22,047
"Jefferson Davis Parish, Louisiana",11163,604,22,053
